title,visitId,name,persistentCart,timestamp
"Clearance Electronics Outlet - Best Buy","33aa8d7a-3690-47c8-8234-55ad9e893a99        ","VIKATARI","True","2025-01-21 03:10:59        "
"Deal of the Day: Electronics Deals - Best Buy","ea356fec-32e6-4dfc-8609-cb89f9dcc9fc     ","NAGALAKSHMI529","True","2025-01-21 19:14:30"
"Member Deals - Best Buy","18343652-2604-435c-9706-4da18d54260a","THOTARAVANA3","True","2025-01-21 06:40:03"
"Track Your Repair - Best Buy","0ecd9fea-84b1-487a-b4f1-56f5679316e8","SRIBIGDATA24","True","2025-01-21 14:12:09"
"Best Buy Top Deals","7c1e1a07-481e-4c09-9c61-1ef796d63e1f","ANVITAD23","True","2025-01-21 11:59:22"
"Cart - Best Buy","61e58b83-93a3-42ad-9d95-875f74b4a781","NAGALAKSHMI529","True","2025-01-21 16:39:55"
"Best Buy Support & Customer Service","6228acee-549f-4307-9d05-048b85675a06","RTUMMALA999","False","2025-01-21 02:56:38"
"Best Buy | Official Online Store | Shop Now &amp; Save","ec7bf95a-b393-4b70-870f-4973c4ad732a","SASI2025","True","2025-01-21 10:26:31"
"Schedule a Service - Best Buy","8bbc3999-d893-4f33-89df-4c06e268de3d","NAGALAKSHMI529","False","2025-01-21 12:46:15"
"Best Buy | Official Online Store | Shop Now &amp; Save","81c14183-1735-43e8-b86a-a93724bc97f2","SRIKANTHPITTA18","False","2025-01-21 21:35:51"
"Schedule a Service - Best Buy","d55206e0-3dc9-4d90-9492-f80b9e66c92c","NAGALAKSHMI529","True","2025-01-21 21:52:16"
"Cart - Best Buy","5bc537d0-5517-4713-abe5-97239d875799","SASI2025","True","2025-01-21 23:49:46"
"Remote Support: Geek Squad - Best Buy","77dff63d-08af-4652-a4f9-3e4bc0297e04","ANVITAD23","True","2025-01-21 23:57:53"
"Track Your Repair - Best Buy","2c6e8081-4a21-4a0a-bff0-2252a6812d9d","NAGALAKSHMI529","True","2025-01-21 15:01:26"
"Best Buy | Official Online Store | Shop Now &amp; Save","5b604e55-6f95-4171-82f3-4304d1bcfe92","THOTARAVANA3","False","2025-01-21 06:51:27"
"Best Buy | Official Online Store | Shop Now &amp; Save","9df601b0-079f-4444-983f-a6a529e6cda8","BHAVANA916","True","2025-01-21 06:31:49"
"Best Buy Top Deals","0d96899d-b7de-482d-8727-e16fa9394c05","NAGALAKSHMI529","False","2025-01-21 17:27:10"
"Cart - Best Buy","7c7ea5de-15fa-40b9-b3f4-85517b61875f","RTUMMALA999","False","2025-01-21 13:59:29"
"Best Buy Top Deals","e69c1867-6293-4f70-b51c-35f5c993b634","SRIBIGDATA24","True","2025-01-21 00:50:30"
"Best Buy Support & Customer Service","fd9486b9-e1e3-4a91-afec-f93e2edfa1c3","RTUMMALA999","False","2025-01-21 12:18:07"
"Member Deals - Best Buy","6f95fead-21d6-497f-9407-a0a0eac8ef59","ABAGAM","False","2025-01-21 11:08:42"
"Clearance Electronics Outlet - Best Buy","001c28fb-1071-4010-97c0-f7164d0c1dd0","BHAVANA916","False","2025-01-21 10:58:52"
"Best Buy | Official Online Store | Shop Now &amp; Save","e02990e0-dd59-492a-bb1e-b6d50b65ebbe","NANDY_12","True","2025-01-21 05:54:08"
"Best Buy Support & Customer Service","dba9c595-cbcd-466d-ba08-9b019de0038b","RTUMMALA999","True","2025-01-21 20:10:32"
"Cart - Best Buy","0f646697-8654-46e1-8d35-d9290b27105a","ABAGAM","True","2025-01-21 07:51:31"
"Clearance Electronics Outlet - Best Buy","a41c7c4d-8a01-4103-82a7-0d998d386453","AMRUTHABOYAPATI","True","2025-01-21 23:54:15"
"Member Deals - Best Buy","de0b2e43-0879-4a8a-a1bb-efde6437f6ca","SRIKANTHPITTA18","False","2025-01-21 04:16:46"
"Best Buy | Official Online Store | Shop Now &amp; Save","ed45c562-786d-4172-a80b-7eae6144398c","THOTARAVANA3","False","2025-01-21 09:12:40"
"Best Buy Top Deals","272237ba-facc-4013-843e-831111523d4e","VIKATARI","True","2025-01-21 18:19:47"
"Clearance Electronics Outlet - Best Buy","f9b021de-8b0f-4abe-9b99-e70f50a91718","BHAVANA916","False","2025-01-21 08:57:07"
"Track Your Repair - Best Buy","6bd66dd0-b01c-4f81-9078-ce4a71927301","THOTARAVANA3","True","2025-01-21 23:28:13"
"Schedule a Service - Best Buy","c24f6323-e8fa-4d0e-ba0f-e693049f6a08","AMRUTHABOYAPATI","True","2025-01-21 02:09:14"
"Remote Support: Geek Squad - Best Buy","01d92f8c-244c-4c47-a534-52e17720f731","RTUMMALA999","True","2025-01-21 22:09:29"
"Best Buy Top Deals","5900e29c-4539-4696-8cbd-374667aaf9f4","NAGALAKSHMI529","True","2025-01-21 19:04:16"
"Best Buy Support & Customer Service","ec6d24f3-fd11-4c6f-a7af-998401fb98a0","MANIDEEPBOYAPATI9","True","2025-01-21 05:22:25"
